"Osnovni podatki o sklenitvah zakonskih zvez, Slovenija, letno"

"LETO";"Sklenitve zakonskih zvez - Skupaj";"Prve sklenitve zakonskih zvez";"Zakonski stan ženina - vdovec";"Zakonski stan neveste - vdova";"Povpreèna starost ženina ob sklenitvi zakonske zveze";"Povpreèna starost neveste ob sklenitvi zakonske zveze";"Povpreèna starost ženina ob sklenitvi prve zakonske zveze";"Povpreèna starost neveste ob prvi sklenitvi zakonske zveze"
"2008";6703;5324;79;59;33.2;30.2;30.9;28.4
"2009";6542;5536;69;77;33.1;30.3;30.7;28.3
"2010";6528;5459;86;75;33.8;30.8;31.2;28.6
"2011";6671;5601;82;68;34.1;31.2;31.4;29.1
"2012";7057;5949;66;68;34.4;31.5;31.5;29.2
"2013";6254;5273;73;56;34.5;31.6;31.6;29.2
"2014";6571;5539;67;64;34.5;31.8;31.6;29.4
"2015";6449;5435;68;49;34.8;32.1;32.0;29.7
"2016";6667;5557;59;62;35.3;32.6;31.9;30.0
"2017";6481;5485;54;53;35.3;32.7;32.2;30.1
"2018";7256;5963;80;68;36.6;33.9;32.6;30.5
