"Osnovni podatki o sklenitvah zakonskih zvez (absolutni podatki in kazalniki), statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"Sklenitve zakonskih zvez 2008";"Sklenitve zakonskih zvez 2009";"Sklenitve zakonskih zvez 2010";"Sklenitve zakonskih zvez 2011";"Sklenitve zakonskih zvez 2012";"Sklenitve zakonskih zvez 2013";"Sklenitve zakonskih zvez 2014";"Sklenitve zakonskih zvez 2015";"Sklenitve zakonskih zvez 2016";"Sklenitve zakonskih zvez 2017";"Sklenitve zakonskih zvez 2018"
"SLOVENIJA";6703;6542;6528;6671;7057;6254;6571;6449;6667;6481;7256
"Pomurska";311;301;300;306;352;332;336;384;370;361;400
"Podravska";995;917;878;950;986;891;986;998;1051;1098;1167
"Koroška";208;203;243;218;253;219;229;238;222;229;290
"Savinjska";741;715;757;739;859;754;773;756;789;748;924
"Zasavska";118;137;133;123;139;131;151;185;188;195;194
"Posavska";203;208;212;235;235;191;253;232;244;242;258
"Jugovzhodna Slovenija";511;482;482;468;502;439;438;430;444;492;523
"Osrednjeslovenska";2016;2006;1903;1985;2025;1810;1839;1752;1824;1716;1954
"Gorenjska";660;675;669;736;744;665;698;655;684;593;687
"Primorsko-notranjska";179;173;186;177;176;144;159;144;181;168;163
"Goriška";379;386;408;374;415;337;356;350;301;315;356
"Obalno-kraška";382;339;357;360;371;341;353;325;369;324;340
