"Osnovni podatki o razvezah zakonskih zvez (absolutni podatki in kazalniki), statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"Razveze zakonskih zvez 2008";"Razveze zakonskih zvez 2009";"Razveze zakonskih zvez 2010";"Razveze zakonskih zvez 2011";"Razveze zakonskih zvez 2012";"Razveze zakonskih zvez 2013";"Razveze zakonskih zvez 2014";"Razveze zakonskih zvez 2015";"Razveze zakonskih zvez 2016";"Razveze zakonskih zvez 2017";"Razveze zakonskih zvez 2018"
"SLOVENIJA";2246;2297;2430;2298;2509;2351;2469;2432;2531;2387;2347
"Pomurska";129;121;133;123;109;125;125;126;115;133;103
"Podravska";373;390;393;363;383;377;387;364;374;390;369
"Koroška";66;63;51;54;78;72;64;59;78;52;64
"Savinjska";285;297;322;252;276;267;260;263;275;253;259
"Zasavska";47;41;50;46;49;40;45;73;90;55;64
"Posavska";70;69;91;73;95;75;71;77;83;73;85
"Jugovzhodna Slovenija";146;152;153;131;185;135;159;161;136;144;144
"Osrednjeslovenska";555;603;666;723;751;709;734;705;772;669;708
"Gorenjska";237;232;254;248;223;227;277;234;255;265;242
"Primorsko-notranjska";54;55;49;55;68;56;56;53;65;65;45
"Goriška";120;114;118;128;105;124;119;116;130;126;100
"Obalno-kraška";164;160;150;102;187;144;172;201;158;162;164
