"Razveze po številu vzdrževanih otrok, statistiène regije, Slovenija, letno"

"STATISTIÈNA REGIJA";"2008 Razveze - SKUPAJ";"2008 Brez otrok";"2008 Eden";"2008 Dva";"2008 Trije";"2008 Štirje ali veè";"2009 Razveze - SKUPAJ";"2009 Brez otrok";"2009 Eden";"2009 Dva";"2009 Trije";"2009 Štirje ali veè";"2010 Razveze - SKUPAJ";"2010 Brez otrok";"2010 Eden";"2010 Dva";"2010 Trije";"2010 Štirje ali veè";"2011 Razveze - SKUPAJ";"2011 Brez otrok";"2011 Eden";"2011 Dva";"2011 Trije";"2011 Štirje ali veè";"2012 Razveze - SKUPAJ";"2012 Brez otrok";"2012 Eden";"2012 Dva";"2012 Trije";"2012 Štirje ali veè";"2013 Razveze - SKUPAJ";"2013 Brez otrok";"2013 Eden";"2013 Dva";"2013 Trije";"2013 Štirje ali veè";"2014 Razveze - SKUPAJ";"2014 Brez otrok";"2014 Eden";"2014 Dva";"2014 Trije";"2014 Štirje ali veè";"2015 Razveze - SKUPAJ";"2015 Brez otrok";"2015 Eden";"2015 Dva";"2015 Trije";"2015 Štirje ali veè";"2016 Razveze - SKUPAJ";"2016 Brez otrok";"2016 Eden";"2016 Dva";"2016 Trije";"2016 Štirje ali veè";"2017 Razveze - SKUPAJ";"2017 Brez otrok";"2017 Eden";"2017 Dva";"2017 Trije";"2017 Štirje ali veè";"2018 Razveze - SKUPAJ";"2018 Brez otrok";"2018 Eden";"2018 Dva";"2018 Trije";"2018 Štirje ali veè"
"SLOVENIJA";2246;987;703;484;63;9;2297;989;699;520;75;14;2430;1157;678;511;73;11;2298;1112;632;480;56;18;2509;1242;632;551;75;9;2351;1109;644;515;71;12;2469;1231;677;467;81;13;2432;1227;635;477;79;14;2531;1269;662;496;89;15;2387;1179;595;498;101;14;2347;1185;568;493;90;11
"Pomurska";129;56;37;31;4;1;121;41;46;28;5;1;133;53;34;35;10;1;123;58;40;22;2;1;109;57;26;21;3;2;125;44;46;30;3;2;125;62;38;22;3;0;126;61;38;27;0;0;115;58;31;22;3;1;133;61;31;35;6;0;103;52;28;21;2;0
"Podravska";373;159;123;78;10;3;390;167;130;81;9;3;393;199;102;80;10;2;363;185;101;65;8;4;383;220;92;61;10;0;377;202;98;66;10;1;387;228;99;52;5;3;364;191;95;65;12;1;374;209;99;52;11;3;390;188;120;64;15;3;369;200;91;67;10;1
"Koroška";66;28;21;14;3;0;63;27;21;11;4;0;51;22;12;14;3;0;54;17;21;14;1;1;78;33;19;20;5;1;72;38;12;16;6;0;64;33;16;14;0;1;59;30;17;10;1;1;78;31;29;15;2;1;52;25;11;12;3;1;64;37;14;11;2;0
"Savinjska";285;125;95;55;10;0;297;131;83;70;12;1;322;148;98;66;9;1;252;120;62;62;6;2;276;139;67;65;5;0;267;129;64;64;9;1;260;135;60;49;13;3;263;132;77;48;4;2;275;127;80;60;7;1;253;142;60;44;6;1;259;114;68;62;13;2
"Zasavska";47;22;14;11;0;0;41;21;11;8;1;0;50;21;16;13;0;0;46;23;15;8;0;0;49;26;12;10;1;0;40;19;13;8;0;0;45;22;13;9;1;0;73;42;11;16;3;1;90;48;25;16;1;0;55;28;18;5;4;0;64;32;15;17;0;0
"Posavska";70;33;23;12;2;0;69;37;22;7;3;0;91;37;28;21;3;2;73;33;22;15;3;0;95;57;16;19;3;0;75;35;20;14;5;1;71;37;18;11;4;1;77;35;24;16;1;1;83;41;26;13;3;0;73;42;12;16;3;0;85;50;18;16;1;0
"Jugovzhodna Slovenija";146;54;49;33;8;2;155;51;49;47;7;1;153;60;44;41;6;2;131;61;38;28;4;0;185;82;46;48;7;2;135;53;36;40;4;2;159;62;47;37;13;0;161;82;36;34;6;3;136;63;32;32;9;0;144;62;46;27;8;1;144;69;36;32;6;1
"Osrednjeslovenska";555;260;177;103;13;2;600;268;172;140;14;6;666;322;192;138;12;2;723;356;192;150;18;7;751;345;207;175;22;2;709;323;202;164;18;2;734;352;204;155;19;4;705;358;178;139;28;2;772;389;177;168;34;4;669;314;169;153;29;4;708;345;179;144;35;5
"Gorenjska";237;104;62;62;9;0;232;99;71;48;13;1;254;139;57;46;11;1;248;119;68;50;9;2;223;108;47;59;8;1;227;109;58;52;7;1;277;138;73;56;10;0;234;100;64;60;9;1;255;122;65;54;10;4;265;135;42;71;16;1;242;120;50;59;11;2
"Primorsko-notranjska";54;21;14;18;0;1;55;20;20;11;4;0;49;23;15;10;1;0;55;23;11;19;1;1;68;32;19;14;2;1;56;29;16;9;2;0;56;25;18;10;2;1;53;28;12;11;2;0;65;33;23;8;1;0;65;31;15;12;6;1;45;20;7;16;2;0
"Goriška";120;52;34;31;3;0;114;51;32;28;2;1;118;55;31;26;6;0;128;70;31;26;1;0;105;50;29;21;5;0;124;64;30;26;3;1;119;60;33;19;7;0;116;57;32;20;6;1;130;67;28;29;5;1;126;67;33;24;2;0;100;52;20;22;6;0
"Obalno-kraška";164;73;54;36;1;0;160;76;42;41;1;0;150;78;49;21;2;0;102;47;31;21;3;0;187;93;52;38;4;0;144;64;49;26;4;1;172;77;58;33;4;0;201;111;51;31;7;1;158;81;47;27;3;0;162;84;38;35;3;2;164;94;42;26;2;0
